email	household_type	num_occupants	bedroom_count	footage	area_code	phone_number	phone_type	postal_code
achesterfield@xx-zobam.com	apartment	2	4	1296	574	3742537	mobile	68660
achickering@warephase.com	house	5	4	1607	041	1557190	other	36274
acorbley@betasoloin.com	apartment	1	0	54	920	5911188	home	14272
acorrio@green-plus.com	apartment	1	3	1027	517	4452548	mobile	21273
acorrio@isdom.com	house	2	2	771	112	9460987	home	33805
acorrio@plussunin.com	mobile home	1	1	306	321	8879341	mobile	68114
acronauer@j-texon.com	house	1	2	628	691	4163106	mobile	34451
acryer@konmatfix.com	apartment	1	0	85	540	7176875	mobile	63365
adallen@y-corporation.com	apartment	1	3	997	108	1786509	home	40357
adarakjy@hatfan.com	house	1	1	389	479	3998627	work	18337
adarakjy@stanredtax.com	apartment	2	1	340	344	3530172	mobile	43140
adaufeldt@opentech.com	mobile home	4	2	645	123	9941865	mobile	14226
adegonia@labdrill.com	apartment	2	2	908				08237
adegroot@toughzap.com	condominium	1	0	148	278	5376335	work	34636
adeleo@dontechi.com	townhome	1	1	332	231	7029791	mobile	65649
ademesa@cancity.com	apartment	2	2	734				83860
adenooyer@opentech.com	condominium	1	1	490				87321
adevreese@green-plus.com	townhome	2	1	417	680	5118488	mobile	02072
adewar@ganjaflex.com	apartment	1	3	1152	721	4952233	mobile	87910
adewar@yearin.com	mobile home	1	2	580	612	7665539	home	01971
adickerson@dambase.com	apartment	1	1	354	627	8263921	mobile	89595
adilello@isdom.com	townhome	2	2	608	689	5357608	home	98664
adilello@streethex.com	house	2	2	563				84083
adilliard@kan-code.com	mobile home	6	6	2303	472	9223788	mobile	46149
adilliard@konex.com	townhome	4	2	662	520	3606274	mobile	42761
adilliard@zumgoity.com	townhome	1	2	746	899	6356244	mobile	35171
adiscipio@ganjaflex.com	house	1	1	455	814	1768249	mobile	08603
adiscipio@newex.com	condominium	2	5	1844				98125
adopico@scottech.com	house	2	3	928	465	4563619	mobile	29920
aemard@singletechno.com	house	4	3	874	664	1646342	home	01922
aeschberger@ron-tech.com	house	4	1	356	414	0532328	mobile	14464
afallick@zumgoity.com	apartment	2	2	846	333	6785190	other	27282
afarrar@bioholding.com	condominium	2	3	1001	559	8177594	home	31008
afarrar@warephase.com	apartment	3	1	466	137	5637504	work	56263
afarrar@year-job.com	apartment	2	0	148				14585
afarrow@codehow.com	apartment	2	2	676	636	2657371	mobile	75936
afarrow@silis.com	house	2	1	405	026	1099578	mobile	57708
aferencz@xx-holding.com	apartment	1	1	410	843	1066592	mobile	61710
afern@kan-code.com	apartment	1	0	79	748	2626928	mobile	32162
afillingim@rantouch.com	apartment	2	5	1583				18248
afillingim@yearin.com	townhome	2	4	1345	554	9881974	mobile	52076
afishburne@sonron.com	apartment	2	2	769	178	7915356	mobile	57526
aflister@dontechi.com	townhome	1	1	500	268	8288014	work	21840
aflosi@dontechi.com	apartment	4	2	784	566	1735167	other	78555
aflosi@kinnamplus.com	apartment	4	3	1047				79025
aflosi@rangreen.com	apartment	4	1	455				94085
afortino@scottech.com	apartment	6	3	1097	148	4954410	mobile	17549
agalam@zathunicon.com	mobile home	4	2	880	820	0064663	mobile	13159
agehrett@golddex.com	townhome	2	4	1425	149	7768389	mobile	01851
agellinger@dontechi.com	house	2	1	369	080	2616787	mobile	11509
agibes@dalttechnology.com	condominium	1	1	372	366	2279830	mobile	67733
agillaspie@golddex.com	townhome	2	1	411	964	1019689	mobile	87417
agillian@ganjaflex.com	condominium	2	3	764	240	0395982	mobile	40317
agleich@condax.com	house	3	1	302	340	9868285	mobile	26818
agleich@funholding.com	apartment	2	3	1012	540	6334056	mobile	01609
agleich@year-job.com	townhome	1	2	754	470	6050792	mobile	43661
aglick@isdom.com	mobile home	1	1	438	104	5372954	mobile	02904
agochal@finjob.com	apartment	2	4	1545	113	7790853	mobile	19037
agoldammer@zathunicon.com	house	1	2	664	215	5964906	mobile	97180
agood@scotfind.com	house	2	1	379	333	1239563	mobile	59917
agotter@codehow.com	apartment	4	2	599	786	4552481	mobile	25710
agrenet@singletechno.com	house	1	1	447				99633
agrenet@sunnamplex.com	house	2	4	1176	079	7135392	other	42758
agudroe@singletechno.com	house	3	3	1185	925	4896045	mobile	48183
ahagele@codehow.com	mobile home	1	1	383	954	4848290	mobile	93382
ahalter@condax.com	apartment	3	5	1328	470	3362204	other	53073
ahalter@finjob.com	apartment	2	3	833	721	3160436	mobile	47550
ahalter@rundofase.com	house	2	5	1510	767	3716914	mobile	80046
ahalter@sunnamplex.com	house	4	3	953	121	0689472	mobile	59936
ahalter@warephase.com	house	2	2	834				75488
ahanafan@zumgoity.com	apartment	1	1	450	527	5834345	work	60629
aharoldson@zumgoity.com	house	4	2	823	659	8487679	mobile	43086
ahaufler@bioholding.com	house	4	0	88	641	4738555	mobile	06245
aheintzman@blackzim.com	townhome	1	1	394	449	7483739	mobile	62054
aheintzman@stanredtax.com	apartment	2	2	619	518	8333609	work	62949
ahengel@sonron.com	mobile home	2	0	141	084	1933779	mobile	29488
aherritt@isdom.com	mobile home	1	0	73	235	9434532	mobile	58236
aherritt@lexiqvolax.com	mobile home	4	1	418				55455
ahidvegi@labdrill.com	apartment	6	3	908				56340
ahidvegi@openlane.com	townhome	2	2	777	618	8433847	mobile	86440
ahidvegi@rangreen.com	apartment	1	1	309	156	6195787	mobile	98649
ahirpara@dalttechnology.com	house	1	0	144	374	9002220	mobile	73180
ahollack@finhigh.com	townhome	2	0	140	841	4603388	work	20704
ahoneywell@condax.com	apartment	4	2	754				54439
ahoneywell@finjob.com	house	3	2	555	030	9902725	home	22832
ahoogland@scotfind.com	apartment	3	1	443	789	0468934	mobile	77267
ahoopengardner@mathtouch.com	condominium	1	3	926	685	0390334	home	24314
ahughey@domzoom.com	townhome	2	3	934	399	8698907	mobile	70719
ahughey@lexiqvolax.com	house	4	2	811	183	3745718	mobile	40075
ahusser@sonron.com	house	2	2	798	778	2938996	other	98929
ainouye@golddex.com	house	2	1	313	982	9634491	mobile	42323
ainouye@rangreen.com	apartment	8	1	921				64116
ajeanty@zumgoity.com	apartment	2	2	876	263	3318393	mobile	36142
ajuhas@betatech.com	apartment	4	3	873	912	2999646	mobile	12525
ajuhas@rantouch.com	apartment	2	2	587	455	6630480	mobile	88262
ajurney@cancity.com	townhome	3	3	1101	173	0882467	home	07530
akalafatis@hottechi.com	house	1	1	391	756	2956126	mobile	17584
akampa@goodsilron.com	condominium	2	0	51	129	2126264	work	03756
akampa@newex.com	townhome	1	1	436	677	1851448	mobile	43344
akaniecki@statholdings.com	house	1	2	752	351	8877184	mobile	17739
akannady@ron-tech.com	house	3	1	519	220	2179914	mobile	98447
akarpel@yearin.com	condominium	2	1	380	854	1942167	mobile	66415
akarpin@zumgoity.com	house	4	2	808	335	2545627	mobile	77904
akeneipp@codehow.com	townhome	2	3	1000	273	0618955	mobile	37690
akeneipp@green-plus.com	house	3	1	488				72645
aketelsen@newex.com	apartment	2	0	102				42339
akiel@sunnamplex.com	house	1	1	456	833	5981506	mobile	00638
akines@rundofase.com	house	3	2	726	146	8697835	mobile	83454
akippley@singletechno.com	apartment	1	2	806	172	1831933	mobile	34759
akitty@plusstrip.com	house	1	1	251				45353
akitzman@funholding.com	apartment	4	3	983	728	0264623	mobile	24520
akitzman@zathunicon.com	house	1	1	368	830	3479393	mobile	11693
aklang@zotware.com	apartment	4	1	482	417	7486947	other	78209
aklonowski@groovestreet.com	condominium	2	2	612	946	7756256	work	12789
aklonowski@isdom.com	house	2	1	420	043	7884038	mobile	27917
aklonowski@konex.com	apartment	2	2	883	727	8045428	mobile	94940
akohl@betasoloin.com	house	4	2	646	734	6665554	mobile	22907
akohl@conecom.com	apartment	3	3	936	514	3251362	mobile	38023
akohl@mathtouch.com	townhome	2	3	1374	619	1920489	mobile	19156
akohnert@streethex.com	apartment	1	1	357	376	0830797	mobile	43610
akolmetz@finjob.com	house	3	0	67	314	7464089	mobile	43733
akolmetz@ontomedia.com	townhome	1	2	666	126	4350786	mobile	72383
akonopacki@sumace.com	apartment	1	1	340	389	1028840	mobile	67057
akoppinger@hatfan.com	apartment	4	3	1175	443	1431743	mobile	38961
akownacki@dambase.com	apartment	3	2	595	120	4023483	mobile	95720
akulzer@funholding.com	townhome	2	5	2180	071	8692762	mobile	31554
alacovara@sonron.com	mobile home	3	1	345	680	0892607	home	36509
alacovara@zumgoity.com	condominium	4	2	623				77616
alary@domzoom.com	apartment	4	2	667	870	6574219	work	68949
alatzke@conecom.com	apartment	4	2	813	676	3535965	mobile	22079
alawler@bioholding.com	condominium	4	2	930	123	8346231	home	71744
alawler@konmatfix.com	apartment	1	2	741	076	1183721	mobile	33334
alawler@streethex.com	house	1	2	665	515	0625694	mobile	30353
aleto@betasoloin.com	apartment	2	3	893				12547
aleto@sonron.com	house	10	7	2812	184	8458152	mobile	53019
alietz@yearin.com	house	2	2	769				68635
alietz@zathunicon.com	house	3	2	796	798	6689371	home	75765
alimmel@ron-tech.com	house	10	4	1483	639	3677586	other	52751
alinahan@sumace.com	townhome	1	2	466	546	9751137	mobile	50006
alinahan@zencorporation.com	house	2	2	654	570	6997064	mobile	16841
alindall@sumace.com	condominium	2	2	707	844	5455017	mobile	17831
aliukko@zencorporation.com	apartment	4	3	1051	824	1361672	work	56425
aloader@statholdings.com	house	4	2	777	565	2671053	work	30295
aloder@ron-tech.com	apartment	2	2	631	151	0877980	mobile	95014
alother@lexiqvolax.com	house	1	0	42	258	5159781	mobile	67203
alouissant@xx-holding.com	apartment	2	1	481	252	2941862	mobile	85087
alungren@cancity.com	house	2	4	1588	178	9915090	mobile	56140
amadarang@hottechi.com	apartment	2	3	1197	652	7535824	mobile	68466
amaile@newex.com	house	2	3	1112				20166
amaile@rangreen.com	townhome	5	2	673	997	9968997	work	95922
amaillard@bioholding.com	apartment	1	2	759				30039
amaillard@konmatfix.com	house	3	0	61				01654
amaillard@zumgoity.com	townhome	4	1	492	828	7279842	mobile	31557
amaisto@ontomedia.com	apartment	1	2	621	077	9730207	mobile	28672
amalet@cancity.com	apartment	2	1	366	550	4394683	home	40847
amalet@gogozoom.com	house	1	1	377	248	9986100	mobile	96118
amallett@year-job.com	apartment	2	0	83	371	6790909	mobile	47732
amalvin@zumgoity.com	condominium	2	1	279	555	4726553	mobile	48428
amanno@sonron.com	apartment	2	1	372	681	1625931	home	04932
amanno@zoomit.com	apartment	2	0	61	794	5275505	mobile	79870
amarrier@codehow.com	house	1	1	278	778	8509686	home	79102
amarrier@kinnamplus.com	house	2	1	324	156	4102408	home	74444
amartabano@hottechi.com	house	1	2	822				12423
amartabano@plussunin.com	house	2	1	455	278	2942367	mobile	14514
amartabano@rantouch.com	condominium	3	4	1250	232	2664048	mobile	22565
amaynerich@green-plus.com	apartment	5	4	1198				99556
ameinerding@donquadtech.com	mobile home	2	1	497	393	4558058	work	96120
ameinerding@openlane.com	apartment	2	3	1156				29598
amelnyk@opentech.com	house	1	1	373				12838
amirafuentes@lexiqvolax.com	house	5	4	1395	882	3169548	mobile	87194
amonarrez@rundofase.com	apartment	1	1	371	219	4447963	mobile	39288
amorasca@funholding.com	townhome	1	2	599	444	2879702	mobile	12306
amorasca@opentech.com	townhome	2	4	886	343	0249767	mobile	20520
amoyd@gogozoom.com	mobile home	2	2	585	938	6119670	mobile	60137
amoyd@newex.com	house	1	2	629	479	9711548	mobile	27511
amugnolo@bioplex.com	apartment	1	1	317	280	0393369	home	20712
amugnolo@finjob.com	mobile home	1	1	404	592	1094172	mobile	05737
amunis@blackzim.com	house	2	2	709	523	8070196	mobile	02090
amyricks@condax.com	mobile home	1	1	449	067	2651480	mobile	11770
amyricks@sunnamplex.com	apartment	1	1	295	595	4361978	mobile	16423
amyricks@zencorporation.com	apartment	2	0	54	048	8842466	mobile	39160
anachor@finhigh.com	townhome	3	3	1262	358	0287019	work	17039
anachor@zathunicon.com	condominium	3	2	830	964	7831739	home	35222
anestle@konex.com	apartment	1	2	617	974	6787983	mobile	16055
anewville@bioholding.com	apartment	2	5	1254	459	6680800	mobile	27869
anicolozakes@year-job.com	condominium	1	1	422	399	2006944	home	10919
anievas@warephase.com	townhome	5	1	362	940	1559282	mobile	38075
anunlee@donquadtech.com	mobile home	1	1	399				62079
aogg@faxquote.com	townhome	1	1	342	223	4243622	mobile	62617
aogg@kan-code.com	house	1	0	70	897	3583099	mobile	63933
aogg@nam-zim.com	house	4	3	1017	194	7169430	mobile	57248
aogg@plusstrip.com	apartment	3	3	1256	166	7746606	mobile	59747
aogg@scottech.com	mobile home	4	0	73	485	3629101	work	72650
aogg@zumgoity.com	mobile home	2	0	50	610	7584077	work	44685
aohms@condax.com	house	1	1	346	747	6877059	mobile	67585
aohms@j-texon.com	condominium	1	1	288	168	6787355	mobile	87057
aoldroyd@bioholding.com	mobile home	1	1	442	258	1433601	work	83712
aoldroyd@konex.com	condominium	2	3	945	145	9418835	home	24726
aonofrio@faxquote.com	house	2	2	706	118	6744294	mobile	15779
aonofrio@inity.com	apartment	3	3	1231	627	2277178	mobile	11380
apadilla@isdom.com	townhome	2	2	660	798	1428612	mobile	19156
apalaspas@betasoloin.com	apartment	1	2	528	584	8695922	mobile	12235
apaprocki@blackzim.com	house	2	1	430	074	1241559	home	12252
aparlato@goodsilron.com	condominium	3	1	409	161	7015187	mobile	60122
aparlato@plusstrip.com	apartment	1	2	633				60933
apawlowicz@labdrill.com	apartment	12	10	2960	153	6233029	mobile	03857
apelkowski@goodsilron.com	townhome	2	3	1223	549	6974378	mobile	71971
apelkowski@konex.com	condominium	3	3	1140	920	4573848	other	12036
aperez@cancity.com	condominium	2	2	714	672	6378606	mobile	46986
aperez@finjob.com	apartment	3	3	1119				33674
apinilla@finhigh.com	apartment	1	1	313	697	8130124	work	58432
apinilla@rangreen.com	apartment	2	2	744	654	5036877	mobile	87573
aplumer@gogozoom.com	apartment	1	1	357	077	2415867	other	92880
apoquette@kan-code.com	apartment	2	3	683				20412
aradde@kinnamplus.com	apartment	1	2	839	289	4102580	other	25537
aradde@singletechno.com	house	2	0	50	248	1530260	mobile	29201
aragel@golddex.com	townhome	7	7	2142	577	2905097	work	71836
arantanen@domzoom.com	house	2	1	474	683	7767916	mobile	77208
arantanen@inity.com	mobile home	4	1	480	594	8289189	mobile	27285
arauser@sunnamplex.com	house	5	4	1585	414	4066686	mobile	97351
araymo@konex.com	apartment	4	2	566	105	0856709	work	56362
ariopelle@bioholding.com	condominium	2	2	557	393	4900905	mobile	83271
ariopelle@inity.com	apartment	2	2	733				63345
ariopelle@stanredtax.com	condominium	2	2	757	840	1651135	mobile	36775
arochin@silis.com	apartment	3	1	354	246	1903404	home	07660
arochin@toughzap.com	apartment	2	2	666	139	5449960	mobile	76704
arodeigues@konex.com	townhome	2	2	626	748	0765210	mobile	94070
arodeigues@toughzap.com	house	2	1	403				70153
arodenberger@dambase.com	house	4	1	461	745	9469924	mobile	53034
arodenberger@warephase.com	house	2	1	289	799	1441198	mobile	32702
arowling@green-plus.com	condominium	1	2	770	995	1326392	mobile	13035
aroyster@hottechi.com	apartment	6	6	1684	199	2108369	mobile	17985
aroyster@zencorporation.com	townhome	2	2	753				99640
aruta@zathunicon.com	condominium	5	4	1235	591	4004110	mobile	21176
aryser@warephase.com	mobile home	1	3	1136	698	7131534	mobile	56672
asarao@zoomit.com	house	2	3	975	627	6517702	work	15773
asaras@dalttechnology.com	townhome	4	2	528				87733
asaras@ron-tech.com	house	2	1	379	461	1243670	mobile	66117
asarbacher@singletechno.com	apartment	2	5	1641	111	8374010	mobile	61769
asaulter@ganjaflex.com	apartment	3	1	484	611	0660567	home	27408
asayaphon@xx-holding.com	townhome	2	4	1481				80232
aschemmer@funholding.com	apartment	1	1	318	452	0420370	mobile	70729
aschemmer@nam-zim.com	house	2	2	855	189	0354297	mobile	62275
aschieler@betasoloin.com	apartment	3	2	669	197	8129208	mobile	74571
aschieler@kinnamplus.com	apartment	1	3	1043	532	2260055	mobile	94065
aschirpke@groovestreet.com	house	2	1	348				35026
aschmaltz@donware.com	house	5	4	1197	626	2313207	mobile	17876
aschmaltz@rantouch.com	townhome	3	2	733	712	1094674	work	70533
asemidey@rangreen.com	apartment	2	5	1835	646	0125451	other	60911
ashinko@opentech.com	condominium	1	1	382	135	5925874	other	17727
ashire@codehow.com	apartment	2	2	606				83539
askulski@zumgoity.com	apartment	1	3	1050	429	9846581	mobile	35773
askursky@nam-zim.com	house	2	2	681	739	9066913	work	40409
askursky@opentech.com	condominium	3	4	1065	598	6973521	mobile	60946
aslayton@bioholding.com	apartment	1	2	892	358	5725726	home	68343
aslayton@isdom.com	house	5	3	1150	721	3123244	mobile	15762
aslayton@kinnamplus.com	townhome	5	3	1214	462	0040999	work	72201
asmith@warephase.com	townhome	2	1	443	778	4979367	mobile	78643
aspickerman@konex.com	house	3	3	1186	490	4510210	other	31753
astimmel@inity.com	townhome	2	2	701	659	2560098	mobile	90802
astockham@kan-code.com	townhome	2	5	1882	456	7280878	mobile	36331
asuell@ron-tech.com	house	2	2	609	151	9487397	mobile	49242
asweigard@doncon.com	mobile home	2	2	596	436	3336085	work	56727
asyrop@donquadtech.com	house	5	0	81	148	1770946	work	79350
asyrop@groovestreet.com	mobile home	2	2	651	559	4039316	mobile	98845
atagala@dalttechnology.com	townhome	2	2	670	938	9618926	mobile	29520
ategarden@donquadtech.com	house	4	2	624	173	9581039	mobile	65610
ategarden@goodsilron.com	townhome	2	2	615				53010
ategarden@warephase.com	townhome	2	3	971	820	6370545	work	81636
athyberg@statholdings.com	condominium	4	3	759	841	3686688	mobile	48834
atillotson@faxquote.com	house	2	2	826	818	8121020	mobile	63824
atjepkema@zencorporation.com	townhome	4	2	635				98466
atolfree@bioholding.com	house	4	1	421	162	1227706	mobile	29721
atolfree@rundofase.com	apartment	4	1	417	428	9471831	mobile	79095
atollner@xx-zobam.com	house	2	3	1084	836	4540794	mobile	21213
atomasulo@rantouch.com	apartment	2	2	706	879	2299982	mobile	12845
atreston@toughzap.com	apartment	2	3	1216	948	1844135	mobile	05464
atromblay@newex.com	house	1	3	925	970	0077505	mobile	81427
atromblay@zoomit.com	apartment	3	2	790				28571
aturinetti@codehow.com	apartment	2	2	564	240	7168704	mobile	62999
aupthegrove@donquadtech.com	house	1	1	429	138	4308147	mobile	89502
avanheusen@zotware.com	house	5	1	380				47983
avarriano@sunnamplex.com	townhome	1	1	469	346	2511450	mobile	39094
avillanueva@green-plus.com	house	3	2	527	619	6546449	mobile	37765
avillanueva@iselectrics.com	condominium	2	2	865	082	9193528	mobile	08030
avinning@faxquote.com	condominium	3	2	745	055	2790056	mobile	08204
avinning@konex.com	mobile home	5	2	876	112	3311223	mobile	25015
avizarro@faxquote.com	apartment	2	2	728	828	4123059	home	10931
avocelka@bioholding.com	apartment	1	1	371	143	1052282	work	11105
avonasek@fasehatice.com	apartment	2	0	97	886	6601092	mobile	41547
awalthall@zotware.com	house	1	0	114	038	4008000	mobile	15540
awardrip@zencorporation.com	mobile home	2	0	118	742	2977771	mobile	28388
awaycott@betasoloin.com	apartment	3	0	99				94130
awaycott@warephase.com	townhome	5	5	1226	873	8863450	mobile	11742
awaymire@ontomedia.com	apartment	1	1	416	065	8340822	work	29730
awaymire@sunnamplex.com	apartment	1	2	693	039	7606085	mobile	06907
aweglarz@hottechi.com	townhome	1	1	264	330	1466818	mobile	48072
aweirather@faxquote.com	apartment	3	1	382	710	3689374	mobile	46038
awesterbeck@codehow.com	apartment	2	4	1293	181	3453672	mobile	99572
awesterbeck@gogozoom.com	apartment	3	1	284	849	1226450	work	59261
awesterbeck@groovestreet.com	house	2	4	1301	624	2811012	mobile	48069
awhobrey@bioplex.com	apartment	2	1	315	099	9302392	mobile	96135
awide@nam-zim.com	townhome	1	1	498	698	2799323	mobile	93022
awide@zoomit.com	townhome	4	3	1119	847	8838155	mobile	72466
awieser@zathunicon.com	mobile home	1	1	279	520	2143451	other	83115
awolfgramm@finhigh.com	townhome	2	3	830	314	0858016	mobile	73832
awolfgramm@toughzap.com	house	1	0	127				35563
awolny@iselectrics.com	townhome	4	3	1255	654	6460585	mobile	72215
awolny@plexzap.com	townhome	1	1	448	135	1515397	home	07999
aworlds@groovestreet.com	apartment	1	1	370	211	5974498	home	19567
awrinkles@streethex.com	apartment	3	2	540				58445
ayglesias@stanredtax.com	house	3	2	756	452	0177764	mobile	42088
ayglesias@statholdings.com	mobile home	4	1	429	548	8836437	home	03247
ayglesias@zoomit.com	house	2	1	453	872	9767730	mobile	80705
ayori@kinnamplus.com	house	8	4	1398	172	9925738	mobile	81033
ayum@nam-zim.com	house	1	1	276	966	5037011	mobile	12466
azagen@plexzap.com	townhome	1	2	729	938	2672788	mobile	58775
azane@inity.com	apartment	3	3	857	031	5095283	mobile	30090
azepp@betasoloin.com	house	4	2	504	878	9358070	mobile	70812
badkin@scotfind.com	apartment	2	1	391	022	9086434	mobile	85532
bahle@green-plus.com	condominium	1	0	65	191	3207577	mobile	38106
balbares@ganjaflex.com	house	2	3	1288	836	9138893	work	87712
balbares@gogozoom.com	house	3	2	874	497	5274104	mobile	33595
bamyot@statholdings.com	apartment	5	1	327	364	2725036	mobile	79223
bankeny@ron-tech.com	house	2	2	652	199	5545228	home	94211
barceo@dontechi.com	house	1	3	978	616	8935791	mobile	50395
baredondo@singletechno.com	house	1	0	67	466	0177178	mobile	47969
basar@scottech.com	townhome	1	3	1217	714	0173189	home	25636
bbarfield@blackzim.com	condominium	2	1	342	319	4424064	mobile	39047
bbartolet@inity.com	townhome	3	2	661	771	1184783	mobile	77301
bbartolet@treequote.com	house	3	2	624	577	2060337	mobile	67938
bbatman@isdom.com	townhome	1	0	143	939	1529043	mobile	66521
bbenimadho@bioplex.com	house	1	2	597	484	1003819	mobile	04940
bbennick@inity.com	condominium	3	2	899	329	3069791	work	79021
bberlanga@donquadtech.com	apartment	2	3	978	522	6719003	mobile	64172
bblackwood@dontechi.com	apartment	2	1	353	875	8528346	work	48331
bbolognia@xx-zobam.com	house	1	1	333	252	2677939	home	15771
bbookamer@funholding.com	apartment	1	1	271	319	1388029	mobile	60068
bboord@betasoloin.com	apartment	2	3	857				39602
bborgman@dalttechnology.com	townhome	2	4	1567	931	5194973	mobile	21132
bboulter@konex.com	house	3	2	744	108	5307747	other	25015
bbowley@goodsilron.com	house	4	3	1062				15736
bbrachle@funholding.com	apartment	4	1	414	914	1709919	mobile	53937
bbriddick@openlane.com	townhome	2	2	828				62017
bbriddick@warephase.com	house	5	3	869	354	5417275	mobile	81427
bbrideau@hottechi.com	apartment	1	1	349	593	6804806	mobile	08896
bbrucato@zumgoity.com	apartment	1	1	382	917	2628587	mobile	49686
bbutt@dontechi.com	condominium	3	2	678	899	4184081	mobile	78008
bbutt@green-plus.com	townhome	2	2	694				36124
bbutzen@inity.com	townhome	3	2	647	175	6541891	mobile	33334
bbutzen@warephase.com	apartment	1	0	72	184	3661969	mobile	14472
bcaiafa@green-plus.com	townhome	4	2	663	553	5106801	mobile	79053
bcaiafa@plusstrip.com	condominium	1	0	149	053	2608381	mobile	25961
bcallaro@donware.com	apartment	1	1	349	016	7921133	mobile	53708
bcaudy@codehow.com	apartment	3	3	1055	168	1399987	other	63860
bcaudy@iselectrics.com	house	3	2	648	598	3583575	mobile	44660
bcentini@labdrill.com	condominium	2	5	1914	479	7646210	mobile	66201
bchaffins@sumace.com	apartment	4	2	917	186	2235325	work	84072
bchavous@sumace.com	apartment	1	1	387				85726
bchesterfield@newex.com	townhome	2	0	38	633	8024792	other	54655
bchui@groovestreet.com	apartment	2	1	311				95675
bchui@zathunicon.com	apartment	2	2	706	733	0637529	work	15226
bclaucherty@sunnamplex.com	condominium	4	3	1021	124	6004279	mobile	74543
bcloney@condax.com	house	1	3	1137	772	7410610	mobile	22580
bcoody@zathunicon.com	apartment	2	2	673				93606
bcookey@nam-zim.com	apartment	1	0	71				50587
bcork@iselectrics.com	house	2	3	1059	516	3924640	mobile	52347
bcousey@scotfind.com	apartment	2	4	1432	478	4802066	mobile	16836
bcraghead@streethex.com	house	1	0	48	742	5227964	other	34685
bcronauer@zencorporation.com	apartment	1	3	1147	664	3347853	mobile	55719
