household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	dryer_heat_source	oven_type	oven_heat_sources	refrigerator_type	display_size	display_type	resolution	washer_load_type
lmenter@dontechi.com	1	Adpickover International	Endsipistor			conventional	gas;microwave					
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas		conventional	electric					
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas								
rmauson@conecom.com	1	Adpickover International	Klitinistor			convection	gas;microwave					
vrodefer@blackzim.com	1	Adpickover International	Lomerplantor			conventional	microwave					
zslusarski@ron-tech.com	1	Adquestin International	Mondimplin						75	LED	4320p (8K)	
jweirather@year-job.com	1	Adquestin International	Supdimilin						45	LED	576i	
agrenet@singletechno.com	1	Adquestin International	Thrunipamover						50	plasma	480i	
cjurney@konex.com	1	Adsapantor Direct Corp.	Cipweradicator		none							
deroman@lexiqvolax.com	1	Adsapantor Direct Corp.	Endkilaquin		gas							
gvillanueva@kan-code.com	1	Adsapantor Direct Corp.	Lomfropadicator		gas							
kwolny@rundofase.com	1	Adsapantor Direct Corp.	Supkilower		electric							
agochal@finjob.com	1	Adsapantor Direct Corp.	Thrumunantor		gas							
fharabedian@scotfind.com	1	Adsapedex WorldWide Company						top freezer				
mferencz@streethex.com	1	Adsapedex WorldWide Company	Hapnipex					french door				
bchaffins@sumace.com	1	Adsipistor Direct	Bareredgover					french door				
lvillanueva@faxquote.com	1	Adsipistor Direct	Frohupover					bottom freezer				
gdinos@mathtouch.com	1	Adsipistor Direct	Hapdimefazz					top freezer				
srantanen@goodsilron.com	1	Adsipistor Direct	Klipickollax					side-by-side				
gvanausdal@streethex.com	1	Adsipistor Direct	Surfropax					bottom freezer				
mgotter@doncon.com	1	Adsipistor Direct	Trumunentor					bottom freezer				
akitzman@zathunicon.com	1	Adtanazz  Group	Cipglibplan						75	LED	1080p	
abourbon@donquadtech.com	1	Adtanazz  Group	Monhupazz						50	LED	480i	
bbriddick@openlane.com	1	Adtanazz  Group	Truhupazz						45	LED	1080i	
slueckenbach@rantouch.com	1	Adtanazz  Group	Winhupantor						50	LCD	480i	
jgochal@opentech.com	1	Adtanollor  Corp.	Dopmunax					french door				
cmerced@fasehatice.com	1	Adtanollor  Corp.	Groglibax					side-by-side				
nlimmel@dambase.com	1	Adtanollor  Corp.	Montanefistor					bottom freezer				
ainouye@golddex.com	1	Adtanollor  Corp.	Rapkilepicator					bottom freezer				
cgreenbush@year-job.com	1	Adtanollor  Corp.	Recadex					side-by-side				
tbruschke@sonron.com	1	Adtanollor  Corp.	Recadicentor					upright freezer				
lpelkowski@zumgoity.com	1	Adtanollor  Corp.	Supquestegistor					top freezer				
fsemidey@lexiqvolax.com	1	Adtumegax	Dopdimanax			convection	electric;gas					
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric		convection	gas;microwave					
rpagliuca@gogozoom.com	1	Adtumegax	Lomfroponex			conventional	gas					
druta@newex.com	1	Adtumegax	Monroban	electric								
leanes@treequote.com	1	Adtumegax	Parrobazz			conventional	microwave;gas					
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction		conventional	gas;electric					
lcousey@ganjaflex.com	1	Adtumentor Direct	Doptumaquar						85	LED	2160p (4K)	
jwenner@hatfan.com	1	Adtumentor Direct	Empebazz						80	LCD	1080p	
lweirather@y-corporation.com	1	Adtumentor Direct	Indudistor						40	DLP	1080p	
dlatzke@zumgoity.com	1	Adtumentor Direct	Lomglibor						60	LCD	576i	
acorrio@isdom.com	1	Adtumentor Direct	Parquestexistor						25	tube	2160p (4K)	
kknipp@doncon.com	1	Adtumentor Direct	Qwiquestefar						50	plasma	4320p (8K)	
kkeneipp@betatech.com	1	Adtumentor Direct	Suppickaquax						45	LCD	720p	
mwaycott@opentech.com	1	Adtumentor Direct	Surtanin						50	LED	480i	
jkitzman@opentech.com	1	Adtumentor Direct	Thrucadadan						70	LED	480i	
akarpin@zumgoity.com	1	Adtumentor Direct	Tippickollentor						80	LCD	1080i	
lisaacs@dalttechnology.com	1	Adtumentor Direct	Truhupazz						50	plasma	1080i	
ehidvegi@sonron.com	1	Adtumentor Direct	Varjubor						50	LCD	720p	
dbuvens@finhigh.com	1	Adtumentor Direct	Wintanex						55	LED	4320p (8K)	
cspickerman@ontomedia.com	1	Adtumommin  Inc	Trunipimover		electric							
fborgman@codehow.com	1	Adtumommin  Inc	Trutumistor		electric							
rhanafan@finhigh.com	1	Adtumower International						bottom freezer				
langalich@finhigh.com	1	Adtumower International	Adrobinan					french door				
mfigeroa@golddex.com	1	Adtumower International	Hapsipomman					upright freezer				
mchickering@goodsilron.com	1	Advenupex Direct Company						side-by-side				
smorocco@ontomedia.com	1	Advenupex Direct Company						top freezer				
vcookey@openlane.com	1	Advenupex Direct Company	Bardimex					upright freezer				
eryser@zumgoity.com	1	Advenupex Direct Company	Endjubicover					upright freezer				
rlapage@donquadtech.com	1	Advenupex Direct Company	Qwitumicax					side-by-side				
ereitler@kan-code.com	1	Advenupex Direct Company	Rekilicin					side-by-side				
cmcdoniel@warephase.com	1	Advenupex Direct Company	Tuptumower					bottom freezer				
aradde@singletechno.com	1	Advenupex Direct Company	Upsapamar					chest freezer				
ghamilton@zotware.com	1	Advenupex Direct Company	Winwerpefan					bottom freezer				
edarakjy@konmatfix.com	1	Adwerax						chest freezer				
mweglarz@sumace.com	1	Adwerax						upright freezer				
lbenimadho@gogozoom.com	1	Adwerax	Endbanin					top freezer				
mpaprocki@dontechi.com	1	Adwerax	Survenor					side-by-side				
cschnitzler@rundofase.com	1	Adwericower Direct Inc	Dopsipover						80	plasma	2160p (4K)	
dherritt@dontechi.com	1	Adwericower Direct Inc	Hapkilazz						35	plasma	2160p (4K)	
mstuer@labdrill.com	1	Adwericower Direct Inc	Kliquestopicator						75	LED	2160p (4K)	
bmotley@gogozoom.com	1	Adwericower Direct Inc	Surerupicator						55	LED	1080i	
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction								
hlacovara@sunnamplex.com	1	Adwerower International Inc	Fropickaman			conventional	electric					
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric		convection	gas;electric;microwave					
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas		convection	electric					
sdemesa@j-texon.com	1	Adwerpaquover Holdings	Hapsipefor						30	LED	1080p	
gbutt@rundofase.com	1	Adwerpaquover Holdings	Klisapedgicator						75	LED	480i	
freiber@iselectrics.com	1	Adwerpaquover Holdings	Montinar						65	LED	1080p	
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric		conventional	microwave;gas					
ghirpara@zencorporation.com	1	Adwerponantor  Inc	Fropickaman			convection	electric;gas					
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric		convection	gas;electric;microwave					
alawler@konmatfix.com	1	Adwerponantor  Inc	Hapzapistor	gas		conventional	gas					
hstaback@labdrill.com	1	Adwerponantor  Inc	Infroponar			conventional	microwave					
ckeetch@plussunin.com	1	Adwerponantor  Inc	Rapglibex			conventional	electric;microwave					
fharabedian@ron-tech.com	1	Adzapex Direct Group						upright freezer				
fyaw@cancity.com	1	Adzapex Direct Group	Bardimex					french door				
bbennick@inity.com	1	Adzapex Direct Group	Cipmunilantor					french door				
tkulzer@cancity.com	1	Adzapex Direct Group	Lomtanan					chest freezer				
hreiber@rundofase.com	1	Adzapex Direct Group	Tiperopan					side-by-side				
hkeener@finhigh.com	1	Adzapex Direct Group	Tiperopan					top freezer				
ethreets@gogozoom.com	1	Adzapex Direct Group	Trusapupentor					french door				
slacovara@zotware.com	1	Adzapex Direct Group	Unjubupistor					top freezer				
macuff@xx-holding.com	1	Adzapex Direct Group	Unquestupan					bottom freezer				
jslayton@bioplex.com	1	Barbanupantor WorldWide			none							
lbartolet@groovestreet.com	1	Barbanupantor WorldWide	Aderin		electric							
jbergesen@konmatfix.com	1	Barbanupantor WorldWide	Hapcadimower		electric							
shamilton@finjob.com	1	Barbanupantor WorldWide	Suptumilantor		gas							
eadkin@donquadtech.com	1	Barbanupantor WorldWide	Trududantor		electric							
kvenere@scottech.com	1	Barbanupantor WorldWide	Unvenower		none							
lhoneywell@domzoom.com	1	Barbanupantor WorldWide	Varerover		gas							
hinouye@fasehatice.com	1	Barcadantor Direct	Barglibin					top freezer				
dgobern@codehow.com	1	Barcadantor Direct	Cipvenimower					bottom freezer				
lkaniecki@j-texon.com	1	Barcadantor Direct	Winquesticator					top freezer				
cshinko@kinnamplus.com	1	Barcadicantor  Group	Truhupollantor						35	LED	1080i	
sbutt@zoomit.com	1	Barerepin  Company			none							
lstorment@konex.com	1	Barerepin  Company	Enderistor		none							
lcraghead@plexzap.com	1	Barerepin  Company	Endtumimower		electric							
mmulqueen@hottechi.com	1	Barerepin  Company	Hapbanedover		none							
aliukko@zencorporation.com	1	Barerepin  Company	Haphupax		none							
tpugh@xx-holding.com	1	Barerepin  Company	Rapvenanazz		electric							
vradde@newex.com	1	Barerepin  Company	Surkilaquantor		gas							
fmaynerich@labdrill.com	1	Barerepin  Company	Tuperin		gas							
lwitten@treequote.com	1	Barjubentor  Corp.	Barmunin						50	LED	1080p	
mherritt@blackzim.com	1	Barjubentor  Corp.	Barzapax						55	plasma	4320p (8K)	
sherritt@kan-code.com	1	Barjubentor  Corp.	Hapmunover						45	LED	1440p	
dfelger@betatech.com	1	Barjubentor  Corp.	Qwitinistor						45	DLP	1080p	
dsengbusch@doncon.com	1	Barjubentor  Corp.	Winpebover						35	LED	2160p (4K)	
tostolaza@fasehatice.com	1	Barmunar WorldWide	Adtanazz			convection	microwave;electric					
anewville@bioholding.com	1	Barmunar WorldWide	Hapquestover			convection	gas					
vcryer@zencorporation.com	1	Barmunar WorldWide	Haptumar			convection	electric					
lpoquette@conecom.com	1	Barmunar WorldWide	Rebanax	induction		convection	gas;electric					
dpalaia@donquadtech.com	1	Barnipentor	Monerex			conventional	electric;gas					
tinouye@warephase.com	1	Barnipentor	Zeesipicator	radiant electric		conventional	gas					
toldroyd@green-plus.com	1	Barnipimax  Inc	Bartumax						50	LED	1080i	
lbuzick@sunnamplex.com	1	Barnipimax  Inc	Emrobegan						65	LED	4320p (8K)	
bbutzen@warephase.com	1	Barnipimax  Inc	Reeran						55	LED	1080i	
lfeichtner@xx-holding.com	1	Barnipimax  Inc	Tiprobower						60	DLP	480i	
gagramonte@zencorporation.com	1	Barnipimax  Inc	Tipwerpedentor						80	plasma	2160p (4K)	
luyetake@statholdings.com	1	Barnipimax  Inc	Untumegistor						75	LED	2160p (4K)	
mfoller@codehow.com	1	Barnipimax  Inc	Wincadar						60	LCD	2160p (4K)	
tmeteer@yearin.com	1	Barnipistor						top freezer				
ecryer@treequote.com	1	Barnipistor	Tupzapinar					top freezer				
rlatzke@bioholding.com	1	Barnipor Holdings Inc	Ciptumamazz		none							
lzepp@openlane.com	1	Barnipor Holdings Inc	Monerexazz		electric							
rlietz@mathtouch.com	1	Barnipor Holdings Inc	Raptinantor		gas							
saquas@donquadtech.com	1	Barnipor Holdings Inc	Tipsipentor		gas							
yhusser@zencorporation.com	1	Barnipor Holdings Inc	Trutumor		gas							
csengbusch@dalttechnology.com	1	Barnipor Holdings Inc	Truvenadicator		none							
fmconnell@ontomedia.com	1	Barnipor Holdings Inc	Tupquestopentor		electric							
mheimann@streethex.com	1	Barpebefentor Holdings Group	Dophuponax						60	LED	2160p (4K)	
eberray@j-texon.com	1	Barpebefentor Holdings Group	Lomglibor						40	plasma	720p	
nmerced@mathtouch.com	1	Barpebefentor Holdings Group	Thrucadadan						35	LED	480i	
lcloney@toughzap.com	1	Barpebistor WorldWide	Cipvenimower					french door				
lcloney@stanredtax.com	1	Barpebistor WorldWide	Monvenepazz					french door				
khoa@lexiqvolax.com	1	Barpickamentor	Endtumimower		electric							
hsilvestrini@scottech.com	1	Barpickommantor Direct	Adquestanistor		gas							
snayar@dambase.com	1	Barpickommantor Direct	Lompebar		electric							
pcoody@hatfan.com	1	Barpickommantor Direct	Qwirobicator		electric							
acentini@scotfind.com	1	Barpickommantor Direct	Suppickan		electric							
cmaclead@domzoom.com	1	Barpickommantor Direct	Tippickepentor		electric							
dmauson@lexiqvolax.com	1	Barpickonax  Inc			electric							
dfunnell@openlane.com	1	Barpickonax  Inc	Barpeban		electric							
dsetter@fasehatice.com	1	Barpickonax  Inc	Endglibicator		none							
nseewald@funholding.com	1	Barpickonax  Inc	Lomfropadicator		none							
iinouye@year-job.com	1	Barpickover International	Partinicantor	electric		convection	electric;gas					
damyot@ganjaflex.com	1	Barpickover International	Rapglibex			convection	gas;electric					
anestle@konex.com	1	Barpickover International	Thrunipaquentor			convection	microwave;gas					
clapage@toughzap.com	1	Barpickover International	Updudistor	electric								
emontezuma@streethex.com	1	Barquestan  Inc	Parquestexistor						45	LCD	720p	
dhauenstein@zumgoity.com	1	Barquestan  Inc	Qwirobantor						50	LCD	1080i	
lcartan@golddex.com	1	Barquestan  Inc	Varjubor						80	LCD	1080i	
sbartolet@toughzap.com	1	Barquestan  Inc	Varpebexin						50	LED	2160p (4K)	
jwardrip@plussunin.com	1	Barquestan  Inc	Varpebexin						55	LCD	2160p (4K)	
lryser@faxquote.com	1	Barrobax	Endzapinicator	electric								
bmorasca@scottech.com	1	Barrobax	Grodiman	electric		conventional	gas					
tahle@ontomedia.com	1	Barrobax	Parrobor			conventional	microwave;gas					
mgehrett@bioplex.com	1	Barrobax	Varrobin	electric								
oreiber@domzoom.com	1	Barrobax	Varrobin	radiant electric		convection	electric;gas					
ariopelle@bioholding.com	1	Barsapover Direct			gas							
jtomblin@green-plus.com	1	Barsapover Direct			gas							
rlorens@opentech.com	1	Barsapover Direct			electric							
cmunns@stanredtax.com	1	Barsapover Direct	Frotanackicator		none							
cinouye@hatfan.com	1	Barsapover Direct	Hapcadimower		gas							
vfallick@doncon.com	1	Barsapover Direct	Trududantor		electric							
fshinko@hatfan.com	1	Barsapover Direct	Truwerpantor		electric							
ghanafan@iselectrics.com	1	Barsipicator WorldWide	Qwifropilistor	induction		conventional	microwave					
aleto@betasoloin.com	1	Barsipicator WorldWide	Qwinipamex	induction		conventional	gas					
fduenas@kinnamplus.com	1	Barsipicator WorldWide	Rapvenar	gas		conventional	gas;microwave					
ccomnick@opentech.com	1	Barsipicator WorldWide	Tupdimantor	gas								
tdelasancha@zoomit.com	1	Bartaneficator WorldWide						chest freezer				
creitler@xx-zobam.com	1	Bartaneficator WorldWide	Bareredgover					side-by-side				
bhalter@zotware.com	1	Bartaneficator WorldWide	Klisapewan					french door				
kshadrick@xx-holding.com	1	Bartaneficator WorldWide	Rerobentor					side-by-side				
bgudroe@condax.com	1	Bartaneficator WorldWide	Trukilegistor					bottom freezer				
cpadilla@green-plus.com	1	Bartanefin International						top freezer				
lcallaro@singletechno.com	1	Bartanefin International	Adsapupicator					french door				
ibuzick@newex.com	1	Bartanefin International	Moncadover					bottom freezer				
lpalaia@gogozoom.com	1	Bartanefin International	Tipquestazz					side-by-side				
kmeteer@finhigh.com	1	Bartanollover WorldWide							75	LED	2160p (4K)	
njayson@y-corporation.com	1	Bartanollover WorldWide	Grosipupicator						80	LED	2160p (4K)	
fstockham@faxquote.com	1	Bartanollover WorldWide	Haptanex						70	LED	2160p (4K)	
kthyberg@lexiqvolax.com	1	Bartanollover WorldWide	Recadan						80	LED	480i	
amonarrez@rundofase.com	1	Bartanollover WorldWide	Varpickex						45	DLP	576i	
aankeny@zoomit.com	1	Bartanollover WorldWide	Vartumor						35	LED	1080p	
rrauser@streethex.com	1	Bartanollover WorldWide	Zeesipplax						80	LCD	2160p (4K)	
bdaufeldt@zotware.com	1	Bartinanor	Froglibefax	induction		conventional	gas;electric;microwave					
amaynerich@green-plus.com	1	Bartinanor	Fropickaman	gas		convection	gas;microwave					
wsweely@finhigh.com	1	Bartinanor	Lompeban	radiant electric		conventional	electric					
gbruschke@betatech.com	1	Bartinanor	Mondudexin	electric		conventional	microwave;gas					
mskursky@newex.com	1	Bartinanor	Mondudexin	electric		conventional	microwave;electric					
hacuff@toughzap.com	1	Bartinanor	Qwinipamex			conventional	electric					
llace@fasehatice.com	1	Bartinanor	Tipwerpin	electric								
lwalthall@betatech.com	1	Bartinex Direct							50	LED	2160p (4K)	
atjepkema@zencorporation.com	1	Bartinex Direct	Barmunin						40	LED	1080p	
czepp@scotfind.com	1	Bartinex Direct	Fropickentor						65	LED	480i	
yluczki@plusstrip.com	1	Bartinex Direct	Rapdimplantor						50	LED	2160p (4K)	
gperigo@bioholding.com	1	Bartinex Direct	Thrunipamover						60	LED	2160p (4K)	
cmontezuma@ganjaflex.com	1	Bartinex Direct	Trutinimicator						55	LED	2160p (4K)	
tparlato@finjob.com	1	Bartinistor WorldWide	Cipglibplan						60	LED	480i	
vstimmel@bioplex.com	1	Bartinistor WorldWide	Monquestover						25	LED	1080i	
akaniecki@statholdings.com	1	Bartinistor WorldWide	Suppickaquax						75	LCD	2160p (4K)	
lgochal@nam-zim.com	1	Bartumanar Direct							55	LED	1080p	
jkusko@finjob.com	1	Bartumanar Direct	Doperax						40	LCD	1080i	
cyori@donware.com	1	Bartumanar Direct	Dophuponax						60	LED	1440p	
aflosi@dontechi.com	1	Bartumanar Direct	Rejubover						50	LED	2160p (4K)	
tdickerson@betatech.com	1	Bartumanar Direct	Tipdimistor						50	LED	4320p (8K)	
dtoelkes@bioplex.com	1	Bartumentor International			electric							
tgochal@finjob.com	1	Bartumentor International	Ciprobilar		gas							
pspringe@gogozoom.com	1	Bartumentor International	Endkilaquin		electric							
bhoa@domzoom.com	1	Bartumentor International	Endrobor		gas							
lsahagun@year-job.com	1	Bartumentor International	Grohuponantor		none							
jbubash@bioplex.com	1	Bartumentor International	Reglibax		none							
jblackwood@domzoom.com	1	Bartumentor International	Truhupinan		none							
eharnos@plussunin.com	1	Bartumopover Direct Inc	Enddimax			conventional	gas;microwave					
fmatuszak@statholdings.com	1	Bartumopover Direct Inc	Rapsapex			convection	electric;gas					
dsturiale@toughzap.com	1	Bartumplentor	Emmunax						50	LED	2160p (4K)	
mbolognia@y-corporation.com	1	Bartumplentor	Klifroponin						75	LED	480i	
khagele@singletechno.com	1	Bartumplentor	Lomjubanicator						65	LCD	1080p	
treiber@inity.com	1	Bartumplentor	Montinanazz						30	plasma	1080i	
kkitzman@goodsilron.com	1	Bartumplentor	Rezapupex						55	LCD	1080p	
emaile@rantouch.com	1	Bartumplentor	Trucadackex						55	LED	720p	
lklang@scotfind.com	1	Barvenackax Direct Company				conventional	gas					
jjillson@lexiqvolax.com	1	Barvenackax Direct Company		gas		convection	microwave;electric					
arodeigues@konex.com	1	Barvenackax Direct Company	Emweronar	gas		conventional	microwave					
lwenzinger@hatfan.com	1	Barvenackax Direct Company	Grosapower			conventional	gas;microwave;electric					
athyberg@statholdings.com	1	Barvenackax Direct Company	Hapnipexower	induction		conventional	electric					
bnestle@hatfan.com	1	Barvenackax Direct Company	Haptanupantor	induction		convection	gas					
hkulzer@condax.com	1	Barvenackax Direct Company	Klidudplar			conventional	gas					
ewolny@zencorporation.com	1	Barvenackax Direct Company	Redudex			convection	electric					
scoyier@scottech.com	1	Barvenackax Direct Company	Tipwerpin	electric		conventional	microwave;gas					
dgoldammer@ganjaflex.com	1	Barvenantor						french door				
iyori@treequote.com	1	Barvenantor						top freezer				
tgotter@konmatfix.com	1	Barvenantor	Adbanex					french door				
rjillson@statholdings.com	1	Barvenantor	Endbanin					french door				
arowling@green-plus.com	1	Barvenantor	Trunipin					chest freezer				
bcallaro@donware.com	1	Barvenantor	Updimexax					top freezer				
tdhamer@statholdings.com	1	Barvenar  Inc			gas							
ebreland@sunnamplex.com	1	Barvenar  Inc	Grodimewicator		electric							
lbrucato@blackzim.com	1	Barvenar  Inc	Hapdudopower		none							
wgibes@plexzap.com	1	Barvenar  Inc	Lomhupewar		gas							
ghoogland@finjob.com	1	Barvenar  Inc	Winfropilover		none							
rperruzza@konex.com	1	Barvenar  Inc	Winjubedin		electric							
kmenter@konmatfix.com	1	Barvenar  Inc	Zeetanewax		gas							
csamu@green-plus.com	1	Cipbanover WorldWide						top freezer				
rkitty@konex.com	1	Cipbanover WorldWide	Endfropamentor					chest freezer				
mbeech@labdrill.com	1	Cipbanower Direct Company		induction		conventional	electric;gas					
lgehrett@rantouch.com	1	Cipbanower Direct Company	Monroban			conventional	electric;gas					
trhymes@stanredtax.com	1	Cipbanower Direct Company	Revenex			conventional	electric;gas					
camigon@konex.com	1	Cipbanower Direct Company	Supericator	induction								
lrochin@statholdings.com	1	Cipbanower Direct Company	Thrumunonax	electric		conventional	gas;electric;microwave					
lwrinkles@hottechi.com	1	Cipcadollan International	Emmunor						75	plasma	2160p (4K)	
bhiatt@zencorporation.com	1	Cipcadollan International	Tipfropor						35	LED	1440p	
bsteffensmeier@sonron.com	1	Cipcadollan International	Upjubazz						50	LCD	2160p (4K)	
twiklund@konmatfix.com	1	Cipcadollan International	Zeesipplax						25	LCD	2160p (4K)	
eauffrey@kan-code.com	1	Cipdudefower WorldWide							45	LCD	480i	
jkampa@yearin.com	1	Cipdudefower WorldWide	Doptinamax						55	DLP	1080i	
kwenzinger@silis.com	1	Cipdudefower WorldWide	Lomjubanicator						45	LED	1440p	
vryser@toughzap.com	1	Cipdudefower WorldWide	Monpebar						60	LED	1080i	
ponofrio@zumgoity.com	1	Cipdudefower WorldWide	Qwitumonax						50	LCD	1080p	
fshealy@ganjaflex.com	1	Cipdudefower WorldWide	Refropicator						40	LED	1080p	
mheintzman@rundofase.com	1	Cipdudefower WorldWide	Refropicator						75	DLP	2160p (4K)	
neroman@plusstrip.com	1	Cipdudefower WorldWide	Supsapor						80	LED	720p	
jisenhower@doncon.com	1	Cipdudefower WorldWide	Thrududistor						55	LED	480i	
lsengbusch@streethex.com	1	Cipdudefower WorldWide	Unkilepazz						50	LED	1080p	
jcomnick@bioholding.com	1	Ciperepazz Direct Inc	Fropickaman			convection	microwave;electric					
gfrancescon@betatech.com	1	Ciperepazz Direct Inc	Parfropadantor	radiant electric		conventional	electric;gas					
