household_email	bathroom_number	sink_count	bidet_count	commode_count	tub_count	shower_count	tub_shower_count	primary_bathroom	bathroom_name
agleich@condax.com	1	1	1	1					
agleich@funholding.com	1	2	0	1	0	1	0	1	
agleich@funholding.com	2	3	1	0	0	1	1	0	
agleich@funholding.com	3	1	0	1	0	1	0	0	
agleich@year-job.com	1	3	0	1					
aglick@isdom.com	1	1	0	1	0	1	0	1	
agochal@finjob.com	1	2	1	1	0	1	1	0	
agochal@finjob.com	2	1	0	0					game room
agoldammer@zathunicon.com	1	1	0	1	1	0	0	1	
agood@scotfind.com	1	1	0	0					powder room
agood@scotfind.com	2	1	0	1	0	1	0	1	
agotter@codehow.com	1	1	0	1					basement
agotter@codehow.com	2	1	0	0	0	0	1	0	
agrenet@singletechno.com	1	1	0	1	0	1	1	0	
agrenet@singletechno.com	2	1	0	1	1	0	0	1	
agrenet@sunnamplex.com	1	1	0	1	1	0	0	1	
agrenet@sunnamplex.com	2	1	1	1					guest
agudroe@singletechno.com	1	1	0	1	0	1	0	0	
agudroe@singletechno.com	2	2	0	0	0	0	1	0	
ahagele@codehow.com	1	2	0	1	1	0	1	1	
ahalter@condax.com	1	1	1	1	1	0	1	0	
ahalter@finjob.com	1	1	0	1	0	0	1	0	
ahalter@rundofase.com	1	1	0	1	0	0	1	0	
ahalter@sunnamplex.com	1	2	0	0					
ahalter@warephase.com	1	1	0	1	1	0	0	0	
ahalter@warephase.com	2	1	0	1	1	0	0	0	
ahanafan@zumgoity.com	1	1	1	1					guest
ahanafan@zumgoity.com	2	2	0	1					
aharoldson@zumgoity.com	1	1	1	1	0	0	1	1	
aharoldson@zumgoity.com	2	1	0	1	1	1	0	0	
ahaufler@bioholding.com	1	2	0	0					
ahaufler@bioholding.com	2	2	0	0	1	0	0	0	
aheintzman@blackzim.com	1	1	1	1					powder room
aheintzman@stanredtax.com	1	2	0	1	0	1	0	0	
aheintzman@stanredtax.com	2	3	0	1	1	0	0	1	
ahengel@sonron.com	1	1	0	1	1	0	1	0	
ahengel@sonron.com	2	1	0	1					
ahengel@sonron.com	3	2	0	0	0	0	1	1	
aherritt@isdom.com	1	1	0	1					
aherritt@lexiqvolax.com	1	2	0	1	1	0	0	0	
aherritt@lexiqvolax.com	2	1	0	1	1	0	0	0	
ahidvegi@labdrill.com	1	2	0	1					
ahidvegi@openlane.com	1	1	0	1					basement
ahidvegi@openlane.com	2	1	0	0	0	1	0	0	
ahidvegi@rangreen.com	1	3	1	1					guest
ahirpara@dalttechnology.com	1	1	0	1	0	1	0	0	
ahirpara@dalttechnology.com	2	1	0	1	0	1	1	1	
ahollack@finhigh.com	1	2	0	1	1	0	1	1	
ahollack@finhigh.com	2	1	0	1					
ahoneywell@condax.com	1	1	1	1	0	1	0	1	
ahoneywell@finjob.com	1	2	0	1	1	0	0	1	
ahoneywell@finjob.com	2	1	0	0	0	1	0	0	
ahoogland@scotfind.com	1	1	0	1	1	0	0	0	
ahoogland@scotfind.com	2	3	0	1	1	0	0	0	
ahoopengardner@mathtouch.com	1	1	1	1	0	1	0	1	
ahughey@domzoom.com	1	2	0	1	1	0	1	0	
ahughey@lexiqvolax.com	1	1	0	1	0	1	0	1	
ahughey@lexiqvolax.com	2	2	0	1					powder room
ahusser@sonron.com	1	1	0	0	1	0	0	1	
ahusser@sonron.com	2	1	0	1	0	1	1	0	
ainouye@golddex.com	1	1	1	1					game room
ainouye@rangreen.com	1	2	0	1					powder room
ainouye@rangreen.com	2	1	0	1					
ainouye@rangreen.com	3	1	1	1	0	1	1	0	
ainouye@rangreen.com	4	1	1	1					
ainouye@rangreen.com	5	2	0	1					powder room
ainouye@rangreen.com	6	1	1	1	0	1	1	0	
ainouye@rangreen.com	7	1	0	1	1	0	0	0	
ainouye@rangreen.com	8	1	0	1					
ainouye@rangreen.com	9	1	0	1					
ajeanty@zumgoity.com	1	2	0	1	0	0	1	0	
ajeanty@zumgoity.com	2	1	0	0	0	1	0	1	
ajeanty@zumgoity.com	3	1	0	1	1	0	0	0	
ajuhas@betatech.com	1	1	0	1					game room
ajuhas@rantouch.com	1	1	0	1	0	1	0	0	
ajurney@cancity.com	1	1	0	1	0	0	1	1	
akalafatis@hottechi.com	1	1	0	1	0	1	0	0	
akampa@goodsilron.com	1	1	1	1	0	1	0	1	
akampa@newex.com	1	2	0	1	1	0	0	0	
akaniecki@statholdings.com	1	1	1	1	1	0	0	1	
akannady@ron-tech.com	1	1	0	1	1	0	1	1	
akannady@ron-tech.com	2	1	0	1	1	1	0	0	
akarpel@yearin.com	1	1	0	1	1	0	0	0	
akarpel@yearin.com	2	2	1	1	1	1	0	1	
akarpin@zumgoity.com	1	2	0	1					basement
akarpin@zumgoity.com	2	1	0	0	1	0	0	1	
akarpin@zumgoity.com	3	1	0	1	1	0	0	0	
akeneipp@codehow.com	1	2	0	1	1	0	0	0	
akeneipp@codehow.com	2	1	0	1	1	0	0	1	
akeneipp@green-plus.com	1	2	0	0					basement
akeneipp@green-plus.com	2	2	0	1					
aketelsen@newex.com	1	2	1	1					
aketelsen@newex.com	2	1	0	0	1	1	0	1	
akiel@sunnamplex.com	1	2	0	0	1	1	0	1	
akiel@sunnamplex.com	2	1	0	1	0	1	0	0	
akines@rundofase.com	1	1	0	1	1	0	0	0	
akippley@singletechno.com	1	1	0	1					guest
akitty@plusstrip.com	1	1	0	1	0	0	1	1	
akitzman@funholding.com	1	1	1	1					guest
akitzman@funholding.com	2	2	0	1					
akitzman@zathunicon.com	1	1	0	1	0	1	1	0	
aklang@zotware.com	1	1	0	1	1	0	0	0	
aklang@zotware.com	2	1	1	1	1	0	0	1	
aklonowski@groovestreet.com	1	1	0	1					game room
aklonowski@isdom.com	1	2	0	0	0	1	0	0	
aklonowski@konex.com	1	1	0	0					powder room
akohl@betasoloin.com	1	1	0	1	1	0	0	1	
akohl@betasoloin.com	2	2	0	1					basement
akohl@betasoloin.com	3	2	0	1					game room
akohl@conecom.com	1	1	0	0	0	1	0	1	
akohl@mathtouch.com	1	1	0	0	0	1	0	0	
akohl@mathtouch.com	2	1	0	1	1	0	0	0	
akohnert@streethex.com	1	2	0	1					
akohnert@streethex.com	2	1	0	1	1	0	1	1	
akolmetz@finjob.com	1	1	0	1	1	1	0	0	
akolmetz@ontomedia.com	1	1	0	0	0	1	1	0	
akonopacki@sumace.com	1	2	0	0					
akoppinger@hatfan.com	1	1	0	1	0	1	1	1	
akoppinger@hatfan.com	2	1	0	1					game room
akownacki@dambase.com	1	1	0	1					
akownacki@dambase.com	2	2	0	1	1	0	1	1	
akulzer@funholding.com	1	1	0	1	0	1	1	0	
akulzer@funholding.com	2	1	0	1					basement
alacovara@sonron.com	1	1	1	0	1	0	0	1	
alacovara@zumgoity.com	1	1	1	1					
alacovara@zumgoity.com	2	2	1	1	0	0	1	0	
alary@domzoom.com	1	1	0	1	0	1	1	1	
alary@domzoom.com	2	1	0	0					game room
alary@domzoom.com	3	1	0	1					powder room
alary@domzoom.com	4	2	0	1	0	0	1	0	
alatzke@conecom.com	1	1	0	1	0	0	1	1	
alatzke@conecom.com	2	1	0	1	1	0	1	0	
alatzke@conecom.com	3	1	0	1					game room
alawler@bioholding.com	1	1	0	1	0	0	1	0	
alawler@bioholding.com	2	1	0	1	0	1	1	0	
alawler@konmatfix.com	1	1	0	1					game room
alawler@streethex.com	1	1	0	1	1	1	0	0	
alawler@streethex.com	2	1	0	0					game room
aleto@betasoloin.com	1	1	0	1					
aleto@betasoloin.com	2	1	0	1					basement
aleto@sonron.com	1	2	0	0					
aleto@sonron.com	2	3	0	1	0	1	0	1	
aleto@sonron.com	3	1	0	1	0	1	0	0	
aleto@sonron.com	4	1	0	1	0	0	1	0	
alietz@yearin.com	1	2	0	1	1	1	0	0	
alietz@yearin.com	2	1	0	1	0	0	1	0	
alietz@zathunicon.com	1	1	0	1	0	0	1	0	
alimmel@ron-tech.com	1	1	0	1	0	1	0	0	
alimmel@ron-tech.com	2	1	0	1					
alimmel@ron-tech.com	3	1	0	1	1	0	0	0	
alimmel@ron-tech.com	4	1	0	1	1	0	1	1	
alinahan@sumace.com	1	1	0	1	0	0	1	1	
alinahan@zencorporation.com	1	1	0	1	1	0	1	0	
alindall@sumace.com	1	1	0	0	1	0	0	0	
alindall@sumace.com	2	1	0	1	1	1	0	0	
alindall@sumace.com	3	1	0	1					
aliukko@zencorporation.com	1	1	0	1	1	1	0	0	
aliukko@zencorporation.com	2	1	0	1	0	1	0	0	
aloader@statholdings.com	1	3	0	1	1	0	0	0	
aloader@statholdings.com	2	1	0	0	0	0	1	1	
aloder@ron-tech.com	1	1	1	1	0	1	0	0	
alother@lexiqvolax.com	1	2	0	1					
alouissant@xx-holding.com	1	1	0	1					basement
alungren@cancity.com	1	2	0	1	0	1	0	0	
alungren@cancity.com	2	3	1	1	0	1	0	0	
amadarang@hottechi.com	1	1	1	1	0	1	0	1	
amadarang@hottechi.com	2	3	0	1					game room
amaile@newex.com	1	1	0	1					
amaile@rangreen.com	1	1	1	0	1	0	0	0	
amaile@rangreen.com	2	1	0	1	1	0	1	0	
amaillard@bioholding.com	1	2	0	1					
amaillard@bioholding.com	2	1	0	1	0	0	1	1	
amaillard@konmatfix.com	1	2	0	0					
amaillard@zumgoity.com	1	2	0	1	0	1	0	0	
amaillard@zumgoity.com	2	1	0	1	1	1	0	1	
amaisto@ontomedia.com	1	1	1	1	1	0	0	0	
amalet@cancity.com	1	3	1	1					powder room
amalet@cancity.com	2	1	0	1	0	0	1	0	
amalet@gogozoom.com	1	1	0	1	1	0	0	0	
amalet@gogozoom.com	2	2	0	1	0	1	1	0	
amallett@year-job.com	1	1	0	1	1	1	0	1	
amallett@year-job.com	2	2	0	0	1	1	0	0	
amalvin@zumgoity.com	1	2	0	1	1	0	0	0	
amanno@sonron.com	1	1	0	1	1	0	0	1	
amanno@sonron.com	2	1	0	1	1	0	0	0	
amanno@zoomit.com	1	3	0	1					
amarrier@codehow.com	1	1	0	1					powder room
amarrier@kinnamplus.com	1	1	0	1					
amartabano@hottechi.com	1	2	0	1					guest
amartabano@hottechi.com	2	1	0	1	0	0	1	0	
amartabano@plussunin.com	1	1	0	1	1	1	0	1	
amartabano@rantouch.com	1	1	1	1	0	0	1	1	
amaynerich@green-plus.com	1	1	0	1					powder room
ameinerding@donquadtech.com	1	1	0	1					basement
ameinerding@donquadtech.com	2	1	0	1					game room
ameinerding@openlane.com	1	1	0	1					game room
amelnyk@opentech.com	1	2	0	1	0	1	0	0	
amelnyk@opentech.com	2	1	0	1	0	1	1	1	
amirafuentes@lexiqvolax.com	1	1	1	1	0	1	1	0	
amirafuentes@lexiqvolax.com	2	1	1	1	1	0	1	0	
amonarrez@rundofase.com	1	1	0	1	1	0	1	0	
amorasca@funholding.com	1	1	0	1	0	1	1	0	
amorasca@funholding.com	2	1	1	1					
amorasca@opentech.com	1	2	0	1					
amoyd@gogozoom.com	1	2	0	1	1	0	0	0	
amoyd@gogozoom.com	2	2	0	0	1	1	0	0	
amoyd@newex.com	1	1	1	1	0	1	0	1	
amugnolo@bioplex.com	1	2	0	0	0	1	1	0	
amugnolo@finjob.com	1	1	1	1	0	0	1	1	
amunis@blackzim.com	1	1	0	1	0	1	0	1	
amyricks@condax.com	1	1	1	1					
amyricks@sunnamplex.com	1	2	0	1	0	0	1	0	
amyricks@zencorporation.com	1	2	0	1	1	0	0	0	
anachor@finhigh.com	1	1	0	1	1	0	0	0	
anachor@finhigh.com	2	1	0	1	1	0	0	0	
anachor@zathunicon.com	1	1	0	1					
anestle@konex.com	1	1	0	1	0	1	0	1	
anewville@bioholding.com	1	1	0	1	0	1	0	0	
anewville@bioholding.com	2	1	0	1	1	0	1	0	
anicolozakes@year-job.com	1	1	0	1	0	0	1	0	
anicolozakes@year-job.com	2	1	0	1					
anievas@warephase.com	1	2	0	1	1	0	0	1	
anievas@warephase.com	2	2	0	1					powder room
anunlee@donquadtech.com	1	2	0	1					
anunlee@donquadtech.com	2	3	0	1					
aogg@faxquote.com	1	1	0	1	0	1	1	0	
aogg@kan-code.com	1	1	0	1					basement
aogg@nam-zim.com	1	2	0	1					game room
aogg@nam-zim.com	2	1	0	1	0	1	0	0	
aogg@nam-zim.com	3	1	0	1					
aogg@plusstrip.com	1	1	0	1	0	0	1	1	
aogg@scottech.com	1	1	1	1	0	1	0	0	
aogg@zumgoity.com	1	2	0	1	1	0	0	0	
aohms@condax.com	1	2	0	1					
aohms@condax.com	2	1	0	1	0	0	1	0	
aohms@j-texon.com	1	1	0	1					game room
aoldroyd@bioholding.com	1	1	0	1					
aoldroyd@bioholding.com	2	1	0	1	0	1	0	0	
aoldroyd@konex.com	1	2	0	1					
aonofrio@faxquote.com	1	2	0	1					powder room
aonofrio@inity.com	1	1	0	1					powder room
aonofrio@inity.com	2	1	0	1	1	0	0	0	
apadilla@isdom.com	1	1	0	1	0	1	1	0	
apalaspas@betasoloin.com	1	2	0	1					
apaprocki@blackzim.com	1	2	0	1	0	0	1	0	
apaprocki@blackzim.com	2	1	0	1					guest
aparlato@goodsilron.com	1	3	1	1					guest
aparlato@goodsilron.com	2	1	1	1	1	0	0	0	
aparlato@plusstrip.com	1	3	0	1	0	0	1	0	
apawlowicz@labdrill.com	1	1	0	1	1	0	0	0	
apawlowicz@labdrill.com	2	1	0	1	0	0	1	0	
apawlowicz@labdrill.com	3	1	0	1	0	1	0	0	
apawlowicz@labdrill.com	4	1	0	1	0	1	0	1	
apawlowicz@labdrill.com	5	2	1	1	0	0	1	0	
apawlowicz@labdrill.com	6	2	0	0	0	0	1	0	
apawlowicz@labdrill.com	7	2	0	1	0	1	0	0	
apawlowicz@labdrill.com	8	1	0	1	1	0	0	0	
apawlowicz@labdrill.com	9	1	1	1	1	0	0	0	
apelkowski@goodsilron.com	1	1	0	1					powder room
apelkowski@goodsilron.com	2	1	0	1	1	0	0	0	
apelkowski@konex.com	1	2	1	1	0	1	1	1	
apelkowski@konex.com	2	1	0	1					
aperez@cancity.com	1	1	0	1					basement
aperez@finjob.com	1	2	0	1	0	0	1	0	
apinilla@finhigh.com	1	2	0	1					
apinilla@rangreen.com	1	1	0	1	1	1	0	0	
aplumer@gogozoom.com	1	2	0	1					
apoquette@kan-code.com	1	1	1	1	0	1	0	0	
apoquette@kan-code.com	2	2	1	1					
aradde@kinnamplus.com	1	1	0	1	0	0	1	0	
aradde@kinnamplus.com	2	1	0	1					basement
aradde@singletechno.com	1	2	1	1					
aragel@golddex.com	1	1	0	1	1	0	0	0	
aragel@golddex.com	2	1	0	1	0	0	1	0	
aragel@golddex.com	3	1	0	1	1	0	0	1	
arantanen@domzoom.com	1	1	0	1					
arantanen@domzoom.com	2	3	0	1	1	0	0	1	
arantanen@inity.com	1	3	0	1	1	1	0	0	
arantanen@inity.com	2	3	0	1	1	0	0	0	
arauser@sunnamplex.com	1	1	1	0					basement
arauser@sunnamplex.com	2	1	1	1	1	0	1	1	
araymo@konex.com	1	1	0	0					game room
araymo@konex.com	2	1	0	1					game room
ariopelle@bioholding.com	1	1	0	1	1	0	0	1	
ariopelle@inity.com	1	1	1	1					game room
ariopelle@inity.com	2	1	0	1	0	0	1	1	
ariopelle@stanredtax.com	1	2	1	1	0	1	0	1	
ariopelle@stanredtax.com	2	1	0	1	1	0	0	0	
ariopelle@stanredtax.com	3	1	1	1	0	1	0	0	
arochin@silis.com	1	1	0	0	0	1	0	1	
arochin@toughzap.com	1	1	0	1	0	0	1	0	
arodeigues@konex.com	1	1	0	1					
arodeigues@toughzap.com	1	2	1	1					guest
arodenberger@dambase.com	1	2	0	1					powder room
arodenberger@warephase.com	1	1	0	1	0	1	0	1	
arowling@green-plus.com	1	1	0	1					guest
arowling@green-plus.com	2	1	0	1	1	0	0	1	
aroyster@hottechi.com	1	1	0	1					basement
aroyster@hottechi.com	2	2	0	1	0	1	1	0	
aroyster@hottechi.com	3	1	0	1					guest
aroyster@hottechi.com	4	2	1	1					
aroyster@hottechi.com	5	1	1	1	0	1	0	1	
aroyster@zencorporation.com	1	1	0	1	0	0	1	1	
aroyster@zencorporation.com	2	2	0	0					game room
aruta@zathunicon.com	1	1	0	1	1	0	0	0	
aruta@zathunicon.com	2	1	1	0	0	1	0	0	
aruta@zathunicon.com	3	3	0	1					
aryser@warephase.com	1	1	0	1					
asarao@zoomit.com	1	1	0	0	1	0	0	1	
asaras@dalttechnology.com	1	1	0	0					
asaras@ron-tech.com	1	1	1	1	0	1	1	0	
asarbacher@singletechno.com	1	1	0	1	0	1	1	0	
asarbacher@singletechno.com	2	1	0	1					
asarbacher@singletechno.com	3	1	0	0	0	1	0	0	
asaulter@ganjaflex.com	1	1	1	1	1	1	0	1	
asaulter@ganjaflex.com	2	1	0	1	1	0	1	0	
asayaphon@xx-holding.com	1	2	0	1					game room
aschemmer@funholding.com	1	1	0	1	1	1	0	0	
aschemmer@nam-zim.com	1	1	0	1	0	0	1	1	
aschemmer@nam-zim.com	2	1	0	0	1	0	0	0	
aschieler@betasoloin.com	1	1	1	1	0	1	0	0	
aschieler@kinnamplus.com	1	2	0	1	1	1	0	1	
aschirpke@groovestreet.com	1	1	0	1					
aschmaltz@donware.com	1	1	0	1					game room
aschmaltz@donware.com	2	1	0	1					
aschmaltz@rantouch.com	1	1	0	1					
aschmaltz@rantouch.com	2	1	0	1	0	1	1	1	
asemidey@rangreen.com	1	2	0	1	0	1	0	1	
ashinko@opentech.com	1	1	0	1	0	1	0	0	
ashire@codehow.com	1	1	0	1					guest
askulski@zumgoity.com	1	3	0	1					basement
askulski@zumgoity.com	2	2	1	1	0	0	1	0	
askursky@nam-zim.com	1	1	1	1	1	0	0	0	
askursky@nam-zim.com	2	2	0	1					
askursky@opentech.com	1	2	0	1	0	0	1	0	
aslayton@bioholding.com	1	2	1	1	1	0	1	1	
aslayton@bioholding.com	2	1	0	1					guest
aslayton@isdom.com	1	1	0	1	1	0	0	0	
aslayton@isdom.com	2	3	0	1	0	1	0	0	
